Marca temporal,,1. Describe brevemente qué crees que es la Inteligencia Artificial.,2. El nivel técnico que se requiere para entender la Inteligencia Artificial es demasiado alto para la mayor parte de la población.,"3. Si un algoritmo es capaz de predecir el resultado de un partido de futbol, es muy probable que sea capaz también de predecir el comienzo de la 3ª guerra mundial.","4. En menos de 10 años, surgirá algún tipo de Inteligencia Artificial que amenazará seriamente a la Humanidad.","5. Como usuario, la regulación legal de la Inteligencia Artificial afectará a mi vida.","6. Describe brevemente cuales son los principales peligros de la Inteligencia Artificial, si conoces alguno de ellos.","7. Cuando un sistema de Inteligencia Artificial ofrece resultados que discriminan en términos de, por ejemplo, sexo, esto se suele deber a:",8. Mediante el aprendizaje automático (machine learning):,9. ¿Cuál de las siguientes afirmaciones es verdadera?,10. ¿Te ha parecido LearningML una  aplicación útil para aprender sobre Inteligencia Artificial?,"11. En un proyecto programado con LearningML, ¿para qué serviría usar el bloque ""clasifica <texto>""?' ",12. ¿Qué propuestas de mejora se te ocurren para la herramienta LearningML?
18/12/2019 13:18:57,7,algoritmos que aprenden de datos de entrenamientos,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,La no supervisión de un humano en decisiones que tome la IA puede resultar muy perjudicial,"Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer textos parecidos a dichos textos de ejemplo, pero nuevos, es decir, textos que no ha visto anteriormente.","Con el aprendizaje automático los ordenadores aprenden a pensar y pueden reconocer cualquier tipo de texto, de la misma manera que lo hace un ser humano.",Totalmente de acuerdo,para tomar una decisión específica,que muestre algunos ejemplos para las personas con poca imaginación
18/12/2019 13:19:58,6,"Es un sistema que recibe datos, pruebas y resultados y dependiendo de cómo esté diseñado, es capaz de dar un resultado o crear unas reglas conforme a los datos",En desacuerdo,De acuerdo,De acuerdo,De acuerdo,"Para mí es la falta de los rasgos humanos, como el razonamiento, la compasión o la empatía. Sin embargo pienso que puede llegar a depurarse estos fallos.","Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer textos parecidos a dichos textos de ejemplo, pero nuevos, es decir, textos que no ha visto anteriormente.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático.",Totalmente de acuerdo,"Para muchos casos, sobre todo en los que se deba dar una pregunta que pueda ser diferente según el usuario","Me parece muy interesante la integración en un lenguaje de programación como Scratch, y si se pudiera escalar a sistemas más complejos sería muy útil"
18/12/2019 13:20:22,10,"Integencia no proveniente del ser humano, la cual va aprendiendo conforme éste reciba datos, dependiendo del tipo que sea si es TOD-DOWN o BOTTOM-UP.",De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,"- La lógica.
- Toma de desiciones.
- El posible libre albedrío (viene siendo lo mismo que la toma de desiciones).
- Que estos rompan los límites.","Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer cualquier texto que le presentemos.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático.",Totalmente de acuerdo,"Para relacionar la respuesta que le des a una de las que tiene la IA en su memoría, luego mide la confidencialidad de tu respuesta y te devuelve un resultado.",Ahora mismo no se me ocurriría ninguna.
18/12/2019 13:21:39,8,"Ingenieria informática, basada en programas, que se le dan muchos datos para que aprenda funciones cognitivas, para que aprenda automáticamente.",En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,"Se basa en la lógica, no hace preguntas críticas, ni se basa en emociones y sentimientos, solo en datos y resultados.",Que el sistema refleje la realidad sexista de la naturaleza humana.,"Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer textos parecidos a dichos textos de ejemplo, pero nuevos, es decir, textos que no ha visto anteriormente.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático.",Totalmente de acuerdo,"Hace referencia a variis datos, que le emos implementado, y con ellos el programa analiza, juzga y aprende, si la respuesta que le damos coincide con alguna pregunta, y nos respobde correctamente.","De momento por lo que e probado lo veo muy bien, necesitaria mas tiempo para poder decir alguna sugerencia para mejorar."
18/12/2019 13:21:58,11,Un programa informático al que se le entrena para reconocer y analizar datos,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Algunos empleados pueden ser sustituidos por inteligencia artificial ,"Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer textos parecidos a dichos textos de ejemplo, pero nuevos, es decir, textos que no ha visto anteriormente.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático.",De acuerdo,Clasifica la respuesta introducida en uno de los grupos creados,No tengo
18/12/2019 13:23:08,5,La inteligencia artificial es un modelo que utiliza un algoritmo que utilizar para aprender de datos de la red y a si mismo se soluciona los problemas y consigue tener menor porcentaje de fallar. ,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No conozco ningun peligro,"Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer únicamente los textos que coincidan exactamente con esos textos de ejemplo.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático.",De acuerdo,Es que se clasifique la respuesta,"Por ahora la herramienta va muy bien, no le he visto ningum problema"
18/12/2019 13:23:13,12,"Es la capacidad que tienen las máquinas de utilizar métodos cognitivos como aprender, razonar, resolver tareas o problemas que son propios de los seres humanos",En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,"El uso de la inteligencia artificial por organizaciones criminales, guerras o los propios gobiernos corruptos pueden ser unos de los mayores peligros de nuestra época. ","Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer textos parecidos a dichos textos de ejemplo, pero nuevos, es decir, textos que no ha visto anteriormente.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático.",Totalmente de acuerdo,La respuesta que ofrece tras comprobar las distinta opciones,Me ha apetecido muy interesante para empezar a entenderlo y seguir añadiendo niveles de complejidad 
10/03/2020 14:41:47,14,Es la ciencia que estudia como los sistemas pueden desarrollar conocimientos y razonamientos tal y como lo harían los seres humanos.,Ni de acuerdo ni en desacuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,La eliminación de puestos de trabajos que realizan humanos,"Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer textos parecidos a dichos textos de ejemplo, pero nuevos, es decir, textos que no ha visto anteriormente.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático.",De acuerdo,Para clasificar a que categoría pertenece ese texto,.
10/03/2020 14:42:09,16,"Es el hacer que una máquina pueda llegar a razonar, pensar o comprender el entorno como un ser humano.",Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,"Se perderán puesto de trabajos, pero se crearon otros orientados a la IA.","Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer textos parecidos a dichos textos de ejemplo, pero nuevos, es decir, textos que no ha visto anteriormente.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático.",Totalmente de acuerdo,Para saber a que tipo de etiqueta te estás refiriendo,.
10/03/2020 14:42:09,,"La inteligencia artificial es una tecnologia que intenta simular la idea de una mente humana, que consiste en que sea capaz de pensar por si sola y tomar decisiones.",De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,El desempleo en algunos trabajos,"Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer cualquier texto que le presentemos.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático.",De acuerdo,.,.
